County,Population,MalePov18to24,MalePov25to34,FemalePov18to24,FemalePov25to34
Texas,25923852,272256,230716,348755,372325
Texas -- Urban,22064431,249752,208777,318551,333819
Texas -- Not in metropolitan or micropolitan statistical area,1336742,9625,10502,14000,17082
"Gonzales County, Texas",19766,232,176,217,388
"Joaquin city, Texas",913,9,7,7,17
"Johnson City city, Texas",1677,16,16,0,27
"Jolly city, Texas",162,0,0,0,0
"Jones Creek village, Texas",2498,39,34,10,22
"Jonestown city, Texas",1939,18,0,25,0
"Josephine city, Texas",809,0,0,3,0
"Joshua city, Texas",5954,41,87,55,73
"Jourdanton city, Texas",4044,0,0,44,73
"Juarez CDP, Texas",294,0,0,0,0
"Junction city, Texas",2577,23,43,68,92
"Gray County, Texas",21262,169,159,228,268
"Justin city, Texas",3207,45,27,27,19
"Karnes City city, Texas",2851,13,102,60,89
"Katy city, Texas",15564,30,76,300,62
"Kaufman city, Texas",6437,50,89,161,177
"K-Bar Ranch CDP, Texas",701,0,12,0,0
"Keene city, Texas",5632,90,10,64,192
"Keller city, Texas",42796,41,46,50,139
"Kemah city, Texas",2118,6,7,0,13
"Kemp city, Texas",1443,7,7,45,18
"Kempner city, Texas",1326,0,3,6,18
"Grayson County, Texas",119943,1262,890,1301,1591
"Kendleton city, Texas",296,6,0,9,7
"Kenedy city, Texas",3299,93,77,26,112
"Kenefick town, Texas",485,0,0,0,0
"Kennard city, Texas",343,7,8,2,3
"Kennedale city, Texas",7212,0,68,54,1
"Kerens city, Texas",1581,5,1,0,41
"Kermit city, Texas",6048,9,26,55,94
"Kerrville city, Texas",21257,385,67,235,287
"Kilgore city, Texas",13717,119,2,374,159
"Killeen city, Texas",135967,754,1657,1404,2652
"Gregg County, Texas",119422,1370,882,1929,2025
"Kingsbury CDP, Texas",799,0,0,7,9
"Kingsland CDP, Texas",6661,56,7,98,82
"Kingsville city, Texas",24451,985,476,1154,563
"Kirby city, Texas",8332,6,23,71,33
"Kirbyville city, Texas",2307,38,0,68,25
"Kirvin town, Texas",117,0,0,0,0
"Knippa CDP, Texas",788,22,15,10,43
"Knollwood city, Texas",394,2,0,9,15
"Knox City town, Texas",1127,0,0,0,2
"Kosse town, Texas",378,11,1,9,6
"Grimes County, Texas",23719,94,270,358,339
"Kountze city, Texas",1976,0,14,16,28
"Kress city, Texas",623,0,0,7,3
"Krugerville city, Texas",1555,0,0,2,0
"Krum city, Texas",4625,27,0,23,16
"Kurten town, Texas",341,2,14,7,4
"Kyle city, Texas",31559,40,103,55,350
"La Blanca CDP, Texas",2421,76,0,66,33
"La Carla CDP, Texas",120,0,0,33,0
"La Casita CDP, Texas",0,0,0,0,0
"La Chuparosa CDP, Texas",0,0,0,0,0
"Guadalupe County, Texas",141379,619,704,1056,1072
"Lackland AFB CDP, Texas",1607,0,4,4,0
"La Coma CDP, Texas",25,0,0,0,0
"LaCoste city, Texas",1299,3,0,0,5
"Lacy-Lakeview city, Texas",6561,181,88,107,184
"Ladonia town, Texas",537,0,3,24,10
"La Escondida CDP, Texas",23,7,0,0,0
"La Esperanza CDP, Texas",30,0,0,0,0
"La Feria city, Texas",7325,107,62,54,120
"La Feria North CDP, Texas",86,0,0,0,0
"Lago CDP, Texas",126,0,0,0,0
"Hale County, Texas",32816,366,347,539,580
"Lago Vista CDP, Texas",134,0,0,0,6
"Lago Vista city, Texas",6409,0,0,0,0
"La Grange city, Texas",4569,10,52,70,93
"La Grulla city, Texas",1319,21,25,23,9
"Laguna Heights CDP, Texas",3240,42,39,13,184
"Laguna Park CDP, Texas",1446,0,0,0,0
"Laguna Seca CDP, Texas",383,0,0,0,4
"Laguna Vista town, Texas",3211,12,51,46,57
"La Homa CDP, Texas",13368,340,141,317,242
"La Joya city, Texas",4183,10,0,80,67
"Hall County, Texas",3143,59,45,28,23
"Lake Bridgeport city, Texas",422,3,5,0,10
"Lake Brownwood CDP, Texas",1264,0,9,0,29
"Lake Bryan CDP, Texas",2253,19,44,42,49
"Lake Cherokee CDP, Texas",2665,14,55,18,10
"Lake City town, Texas",442,8,0,2,17
"Lake Colorado City CDP, Texas",514,4,0,8,2
"Lake Dallas city, Texas",7465,14,50,0,98
"Lake Dunlap CDP, Texas",2688,28,0,0,9
"Lakehills CDP, Texas",4900,28,49,13,112
"Lake Jackson city, Texas",27250,239,121,154,337
"Hamilton County, Texas",8000,67,30,52,37
"Lake Kiowa CDP, Texas",2522,62,0,0,0
"Lake Medina Shores CDP, Texas",896,0,0,0,0
"Lake Meredith Estates CDP, Texas",146,0,0,0,0
"Lakeport city, Texas",1097,0,0,12,15
"Lakeshore Gardens-Hidden Acres CDP, Texas",845,0,75,10,0
"Lakeside town (San Patricio County), Texas",294,0,0,0,0
"Lakeside town (Tarrant County), Texas",1592,0,0,0,3
"Lakeside City town, Texas",1036,0,0,6,0
"Lake Tanglewood village, Texas",692,0,6,2,7
"Lakeview town, Texas",89,0,0,0,0
"Hansford County, Texas",5484,13,17,31,74
"Lake View CDP, Texas",127,0,0,0,0
"Lakeway city, Texas",13128,7,36,7,57
"Lakewood Village city, Texas",581,0,0,0,0
"Lake Worth city, Texas",4555,0,19,0,79
"La Loma de Falcon CDP, Texas",115,8,0,0,7
"Lamar CDP, Texas",1040,0,0,4,3
"La Marque city, Texas",15154,84,89,150,297
"Lamesa city, Texas",9282,35,29,123,114
"La Minita CDP, Texas",127,0,0,0,0
"Lampasas city, Texas",6902,123,40,143,99
Texas -- Not in metropolitan statistical area,2862511,28771,23909,40101,40346
"Hardeman County, Texas",3964,16,38,7,50
"Lancaster city, Texas",37581,229,241,539,553
"Lantana CDP, Texas",8585,17,0,0,0
"La Paloma CDP, Texas",2704,0,0,0,0
"La Paloma Addition CDP, Texas",101,18,0,0,0
"La Paloma-Lost Creek CDP, Texas",631,0,15,0,13
"La Paloma Ranchettes CDP, Texas",497,0,0,22,26
"La Porte city, Texas",34610,198,150,186,341
"La Presa CDP, Texas",330,9,0,27,14
"La Pryor CDP, Texas",1568,36,11,20,41
"La Puerta CDP, Texas",391,25,0,0,0
"Hardin County, Texas",54869,205,129,312,609
"Laredo city, Texas",244816,3722,3463,4736,5712
"Laredo Ranchettes CDP, Texas",58,7,0,0,0
"Laredo Ranchettes West CDP, Texas",0,0,0,0,0
"La Rosita CDP, Texas",106,0,0,0,0
"Lasana CDP, Texas",67,0,0,0,0
"Lasara CDP, Texas",994,40,32,25,34
"Las Haciendas CDP, Texas",0,0,0,0,0
"Las Lomas CDP, Texas",3743,131,241,128,130
"Las Lomitas CDP, Texas",312,0,0,0,0
"Las Palmas CDP, Texas",17,0,0,0,0
"Harris County, Texas",4312204,37551,44220,49791,69554
"Las Palmas II CDP, Texas",1765,52,28,97,117
"Las Pilas CDP, Texas",0,0,0,0,0
"Las Quintas Fronterizas CDP, Texas",2251,29,40,185,0
"Latexo city, Texas",332,1,2,0,10
"La Tina Ranch CDP, Texas",730,54,0,30,107
"Laughlin AFB CDP, Texas",1724,31,0,7,0
"Laureles CDP, Texas",5087,127,252,226,94
"La Vernia city, Texas",1387,0,3,14,0
"La Victoria CDP, Texas",91,0,0,0,0
"La Villa city, Texas",2497,39,69,52,42
"Harrison County, Texas",64919,504,498,588,893
"Lavon city, Texas",2507,0,6,4,0
"La Ward city, Texas",190,0,0,0,0
"Lawn town, Texas",326,0,9,2,5
"League City city, Texas",90931,100,315,183,497
"Leakey city, Texas",633,7,2,14,0
"Leander city, Texas",31974,16,55,70,137
"Leary city, Texas",690,14,6,0,15
"Lefors town, Texas",374,0,9,2,3
"Leming CDP, Texas",680,0,0,19,0
"Leona city, Texas",167,0,0,5,0
"Hartley County, Texas",4624,6,16,14,35
"Leonard city, Texas",2135,7,20,30,21
"Leon Valley city, Texas",10790,0,77,85,115
"Leroy city, Texas",376,0,1,0,1
"Levelland city, Texas",13111,163,134,319,114
"Lewisville city, Texas",100610,462,518,564,1203
"Lexington town, Texas",1301,26,45,44,16
"Liberty city, Texas",8335,127,111,0,166
"Liberty City CDP, Texas",2157,0,0,48,0
"Liberty Hill city, Texas",1140,0,11,3,58
"Lincoln Park town, Texas",278,0,3,1,6
"Haskell County, Texas",5021,3,49,15,111
"Lindale city, Texas",5203,17,64,0,138
"Linden city, Texas",2097,42,55,39,64
"Lindsay city, Texas",1103,2,0,3,2
"Lindsay CDP, Texas",351,0,7,39,16
"Linn CDP, Texas",562,5,8,0,17
"Lipan city, Texas",509,3,1,8,15
"Lipscomb CDP, Texas",19,0,0,0,0
"Little Elm city, Texas",32543,120,98,27,140
"Littlefield city, Texas",6174,55,72,89,189
"Little River-Academy city, Texas",1909,6,3,35,15
"Hays County, Texas",170468,5231,1741,5977,2211
"Live Oak city, Texas",14649,98,56,54,281
"Liverpool city, Texas",375,0,0,2,0
"Livingston town, Texas",4935,102,12,82,95
"Llano city, Texas",3208,42,82,71,64
"Llano Grande CDP, Texas",3019,16,47,0,87
"Lockhart city, Texas",11457,27,35,40,136
"Lockney town, Texas",1786,37,24,8,24
"Log Cabin city, Texas",572,4,2,0,4
"Lolita CDP, Texas",571,0,0,0,0
"Loma Grande CDP, Texas",20,0,0,0,0
"Hemphill County, Texas",4068,14,26,5,42
"Loma Linda CDP, Texas",60,0,0,0,0
"Loma Linda East CDP (Jim Wells County), Texas",302,0,0,0,0
"Loma Linda East CDP (Starr County), Texas",0,0,0,0,0
"Loma Linda West CDP, Texas",163,0,0,0,0
"Loma Vista CDP, Texas",252,0,0,0,0
"Lometa city, Texas",982,15,21,28,29
"Lone Oak city, Texas",577,3,4,0,0
"Lone Star city, Texas",1557,15,6,67,14
"Longoria CDP, Texas",0,0,0,0,0
"Longview city, Texas",79301,985,557,937,1491
"Henderson County, Texas",77507,498,738,685,1066
"Loop CDP, Texas",332,1,0,0,0
"Lopeño CDP, Texas",0,0,0,0,0
"Lopezville CDP, Texas",4217,0,92,83,71
"Loraine town, Texas",561,5,6,2,17
"Lorena city, Texas",1866,29,4,14,31
"Lorenzo city, Texas",1160,8,7,29,39
"Los Altos CDP, Texas",109,0,0,0,10
"Los Alvarez CDP, Texas",374,0,0,0,0
"Los Angeles CDP, Texas",157,0,0,0,0
"Los Arcos CDP, Texas",60,0,0,0,0
"Hidalgo County, Texas",809092,14074,12987,17689,18725
"Los Arrieros CDP, Texas",40,0,0,0,0
"Los Barreras CDP, Texas",174,0,0,0,0
"Los Centenarios CDP, Texas",0,0,0,0,0
"Los Corralitos CDP, Texas",64,0,0,0,0
"Los Ebanos CDP (Hidalgo County), Texas",197,0,0,0,0
"Los Ebanos CDP (Starr County), Texas",356,0,0,0,7
"Los Fresnos city, Texas",6255,150,58,132,111
"Los Fresnos CDP, Texas",61,0,0,0,0
"Los Huisaches CDP, Texas",27,0,0,0,0
"Los Indios town, Texas",1222,15,19,38,8
"Anderson County, Texas",44783,713,309,615,501
"Hill County, Texas",33905,144,407,509,402
"Los Lobos CDP, Texas",0,0,0,0,0
"Los Minerales CDP, Texas",33,0,0,0,0
"Los Nopalitos CDP, Texas",94,0,0,9,0
"Lost Creek CDP, Texas",4570,18,16,0,0
"Los Veteranos I CDP, Texas",0,0,0,0,0
"Los Veteranos II CDP, Texas",65,0,0,0,0
"Los Ybanez city, Texas",11,0,5,0,0
"Lott city, Texas",845,22,12,53,0
"Louise CDP, Texas",599,0,13,0,30
"Lovelady city, Texas",539,0,17,5,15
"Hockley County, Texas",22569,219,182,418,246
"Lowry Crossing city, Texas",1743,0,3,7,0
"Lozano CDP, Texas",593,27,0,0,22
"Lubbock city, Texas",229843,9001,2649,8430,3379
"Lucas city, Texas",6217,0,29,3,39
"Lueders city, Texas",141,0,0,0,0
"Lufkin city, Texas",34803,440,513,567,943
"Luling city, Texas",5435,152,0,145,40
"Lumberton city, Texas",12134,21,47,0,51
"Lyford city, Texas",2597,71,28,78,67
"Lytle city, Texas",2843,10,11,0,26
"Hood County, Texas",52446,394,325,378,508
"Mabank town, Texas",3291,19,12,40,89
"McAllen city, Texas",135482,1707,1905,2868,2403
"McCamey city, Texas",1866,46,32,27,61
"McDade CDP, Texas",913,26,0,0,22
"Macdona CDP, Texas",285,0,0,0,0
"McGregor city, Texas",4896,86,0,43,44
"McKinney city, Texas",148293,668,546,792,788
"McKinney Acres CDP, Texas",1086,11,0,13,0
"McLean town, Texas",906,0,9,31,11
"McLendon-Chisholm city, Texas",1655,0,0,6,0
"Hopkins County, Texas",35112,218,379,511,697
"McQueeney CDP, Texas",2480,11,1,1,0
"Madisonville city, Texas",4372,32,40,77,41
"Magnolia city, Texas",1566,11,14,18,46
"Malakoff city, Texas",2891,8,40,57,105
"Malone town, Texas",287,0,1,0,7
"Manchaca CDP, Texas",1427,45,1,0,0
"Manor city, Texas",6425,75,87,200,73
"Mansfield city, Texas",61117,277,181,190,174
"Manuel Garcia CDP, Texas",310,0,0,19,0
"Manuel Garcia II CDP, Texas",232,0,0,0,0
"Houston County, Texas",19663,221,101,408,309
"Manvel city, Texas",6655,82,101,0,88
"Marathon CDP, Texas",546,0,0,0,0
"Marble Falls city, Texas",6137,25,72,7,101
"Marfa city, Texas",1916,0,0,15,35
"Marietta town, Texas",109,4,0,0,0
"Marion city, Texas",1024,0,0,0,11
"Markham CDP, Texas",1236,0,25,0,26
"Marlin city, Texas",5159,104,34,68,79
"Marquez city, Texas",276,0,0,4,2
"Marshall city, Texas",22444,185,141,250,413
"Howard County, Texas",30619,278,103,323,497
"Mart city, Texas",1994,27,24,40,51
"Martindale city, Texas",1341,0,13,9,30
"Martinez CDP, Texas",0,0,0,0,0
"Mason city, Texas",1856,22,31,0,13
"Matador town, Texas",541,19,7,5,0
"Matagorda CDP, Texas",335,9,0,0,0
"Mathis city, Texas",4913,102,14,135,94
"Maud city, Texas",1025,6,2,0,28
"Mauriceville CDP, Texas",3125,14,39,0,34
"Maypearl city, Texas",694,0,0,0,0
"Hudspeth County, Texas",2959,22,35,63,87
"Meadow town, Texas",795,5,4,3,31
"Meadowlakes city, Texas",2051,0,0,0,0
"Meadows Place city, Texas",4689,8,10,33,0
"Medina CDP, Texas",4913,356,157,183,306
"Megargel town, Texas",224,0,0,0,0
"Melissa city, Texas",6175,0,0,39,0
"Melvin town, Texas",181,5,2,0,0
"Memphis city, Texas",2159,46,40,21,8
"Menard city, Texas",1574,2,18,27,0
"Mentone CDP, Texas",37,0,0,0,0
"Hunt County, Texas",85135,1228,878,1312,1182
"Mercedes city, Texas",16417,172,203,350,410
"Meridian city, Texas",1612,20,9,56,47
"Merkel town, Texas",2542,39,7,52,8
"Mertens town, Texas",140,0,0,0,0
"Mertzon city, Texas",811,13,7,6,12
"Mesquite city, Texas",142597,1361,1093,1241,2547
"Mesquite CDP, Texas",650,0,0,9,0
"Mexia city, Texas",7052,109,195,95,190
"Miami city, Texas",608,0,0,0,1
"Midland city, Texas",122321,588,430,1184,1332
"Hutchinson County, Texas",21684,85,211,312,345
"Midlothian city, Texas",20661,25,95,22,141
"Midway city, Texas",343,1,0,0,0
"Midway North CDP, Texas",5024,188,164,150,97
"Midway South CDP, Texas",2732,106,0,34,72
"Miguel Barrera CDP, Texas",260,0,0,0,0
"Mikes CDP, Texas",879,14,34,54,48
"Mila Doce CDP, Texas",6225,103,94,308,223
"Milam CDP, Texas",1374,43,0,47,52
"Milano city, Texas",445,0,7,11,11
"Mildred town, Texas",503,1,5,0,12
"Irion County, Texas",1644,14,7,6,12
"Miles city, Texas",1086,28,0,7,0
"Milford town, Texas",669,0,7,4,9
"Miller's Cove town, Texas",190,0,6,4,10
"Millican town, Texas",265,0,1,2,4
"Millsap town, Texas",443,9,3,11,7
"Mineola city, Texas",4396,14,48,33,136
"Mineral Wells city, Texas",14562,273,132,260,242
"Mingus city, Texas",303,0,0,6,21
"Mi Ranchito Estate CDP, Texas",106,0,0,0,0
"Mirando City CDP, Texas",382,11,6,7,10
"Andrews County, Texas",16578,99,65,154,164
"Jack County, Texas",7693,101,75,89,68
"Mission city, Texas",81308,1029,645,1722,1353
"Mission Bend CDP, Texas",36711,324,199,342,274
"Missouri City city, Texas",70243,202,117,106,235
"Mobeetie city, Texas",156,0,0,0,2
"Mobile City city, Texas",291,2,7,6,12
"Monahans city, Texas",7234,107,92,62,161
"Montague CDP, Texas",248,0,3,0,5
"Mont Belvieu city, Texas",4585,0,0,0,51
"Monte Alto CDP, Texas",1836,19,43,91,84
"Montgomery city, Texas",744,4,8,9,8
"Jackson County, Texas",14196,49,80,117,117
"Moody city, Texas",1628,41,11,6,22
"Moore CDP, Texas",404,45,10,19,0
"Moore Station city, Texas",247,0,7,22,4
"Moraida CDP, Texas",194,0,0,0,0
"Morales-Sanchez CDP, Texas",46,0,0,0,0
"Moran city, Texas",347,6,0,3,6
"Morgan city, Texas",605,5,7,12,11
"Morgan Farm CDP, Texas",348,0,0,0,0
"Morgan's Point city, Texas",271,0,0,4,0
"Morgan's Point Resort city, Texas",4200,22,29,14,69
"Jasper County, Texas",34742,336,137,492,379
"Morning Glory CDP, Texas",423,0,0,0,22
"Morse CDP, Texas",201,0,6,1,7
"Morton city, Texas",1831,29,12,22,63
"Moulton town, Texas",881,0,10,26,5
"Mountain City city, Texas",771,0,0,0,0
"Mount Calm city, Texas",259,4,6,0,0
"Mount Enterprise city, Texas",429,4,0,9,2
"Mount Pleasant city, Texas",15626,176,135,120,285
"Mount Vernon town, Texas",2644,25,28,30,59
"Muenster city, Texas",1540,4,7,27,0
"Jeff Davis County, Texas",2169,0,0,0,0
"Muleshoe city, Texas",5170,0,21,25,18
"Mullin town, Texas",136,4,4,0,0
"Munday city, Texas",1333,0,2,33,32
"Muniz CDP, Texas",1645,44,31,38,0
"Murchison city, Texas",518,0,2,3,5
"Murillo CDP, Texas",7374,99,101,128,166
"Murphy city, Texas",19660,84,0,27,17
"Mustang town, Texas",15,0,3,0,2
"Mustang Ridge city, Texas",1232,0,6,15,13
"Myrtle Springs CDP, Texas",473,0,52,0,0
"Jefferson County, Texas",236828,2317,2452,3621,4321
"Nacogdoches city, Texas",28488,1280,522,1748,603
"Naples city, Texas",1438,26,23,13,26
"Narciso Pena CDP, Texas",0,0,0,0,0
"Nash city, Texas",3083,31,46,166,68
"Nassau Bay city, Texas",4016,9,18,9,0
"Natalia city, Texas",1398,0,24,13,48
"Navarro town, Texas",267,0,4,1,0
"Navasota city, Texas",7064,29,97,60,177
"Nazareth city, Texas",281,0,0,0,0
"Nederland city, Texas",17057,32,62,96,50
"Jim Hogg County, Texas",5216,42,106,45,20
"Needville city, Texas",2962,0,44,0,0
"Nesbitt town, Texas",174,0,1,1,0
"Netos CDP, Texas",17,0,0,0,0
"Nevada city, Texas",1037,6,0,9,15
"Newark city, Texas",1108,2,14,23,21
"New Berlin city, Texas",535,0,0,0,0
"New Boston city, Texas",4622,51,90,98,61
"New Braunfels city, Texas",63213,181,250,600,444
"Newcastle city, Texas",485,8,0,0,19
"New Chapel Hill city, Texas",657,1,0,11,9
"Jim Wells County, Texas",40983,335,328,704,694
"New Deal town, Texas",866,0,3,6,9
"New Fairview city, Texas",1001,6,5,0,3
"New Falcon CDP, Texas",223,0,49,0,30
"New Home city, Texas",386,6,8,0,7
"New Hope town, Texas",775,2,12,2,7
"New London city, Texas",1177,0,29,5,24
"New Summerfield city, Texas",1351,16,39,31,33
"New Territory CDP, Texas",15494,23,55,0,49
"Newton city, Texas",1896,81,6,10,38
"New Waverly city, Texas",1335,35,12,50,58
"Johnson County, Texas",152222,804,835,1252,1486
"Neylandville town, Texas",111,1,0,2,0
"Niederwald city, Texas",601,2,7,9,8
"Nina CDP, Texas",274,19,0,10,0
"Nixon city, Texas",2499,11,51,21,57
"Nocona city, Texas",2928,57,72,48,76
"Nocona Hills CDP, Texas",738,0,0,0,2
"Nolanville city, Texas",4533,14,107,17,260
"Nome city, Texas",448,0,0,9,0
"Noonday city, Texas",708,0,0,5,7
"Nordheim city, Texas",250,0,0,0,3
"Jones County, Texas",12520,41,44,159,300
"Normangee town, Texas",576,3,15,5,7
"Normanna CDP, Texas",101,0,0,0,0
"North Alamo CDP, Texas",4095,0,61,19,55
"North Cleveland city, Texas",163,0,1,0,1
"North Escobares CDP, Texas",245,0,0,0,0
"Northlake town, Texas",2643,2,13,36,33
"North Pearsall CDP, Texas",963,0,0,0,38
"North Richland Hills city, Texas",66641,218,219,543,356
"Northridge CDP, Texas",0,0,0,0,0
"North San Pedro CDP, Texas",589,0,12,11,40
"Karnes County, Texas",12143,106,254,95,277
"Novice city, Texas",80,0,0,0,0
"Oak Grove town, Texas",862,0,0,4,3
"Oakhurst CDP, Texas",481,0,0,0,0
"Oak Island CDP, Texas",282,0,0,0,0
"Oak Leaf city, Texas",1428,3,0,10,0
"Oak Point city, Texas",3107,7,0,17,0
"Oak Ridge town (Cooke County), Texas",126,0,0,0,0
"Oak Ridge town (Kaufman County), Texas",454,0,0,1,0
"Oak Ridge North city, Texas",3106,9,0,1,1
"Oak Trail Shores CDP, Texas",2880,0,42,109,0
"Angelina County, Texas",85186,616,866,1005,1610
"Kaufman County, Texas",107490,443,605,784,1199
"Oak Valley town, Texas",444,0,0,5,2
"Oakwood town, Texas",515,0,9,0,4
"O'Brien city, Texas",116,0,0,0,0
"Odem city, Texas",2671,0,25,23,52
"Odessa city, Texas",109505,915,442,1589,1086
"O'Donnell city, Texas",982,0,4,19,31
"Oglesby city, Texas",590,0,0,0,24
"Oilton CDP, Texas",362,0,6,0,0
"Old River-Winfree city, Texas",1894,3,9,4,62
"Olivarez CDP, Texas",3800,160,57,160,115
"Kendall County, Texas",36903,49,51,131,195
"Olivia Lopez de Gutierrez CDP, Texas",0,0,0,0,0
"Olmito CDP, Texas",948,46,0,0,27
"Olmito and Olmito CDP, Texas",275,0,0,7,0
"Olmos Park city, Texas",1990,10,0,0,4
"Olney city, Texas",3148,9,0,71,59
"Olton city, Texas",1772,24,15,42,24
"Omaha city, Texas",899,15,13,6,13
"Onalaska city, Texas",1709,2,12,41,57
"Opdyke West town, Texas",101,4,0,6,5
"Orange city, Texas",18395,312,142,391,285
"Kenedy County, Texas",565,20,7,9,12
"Orange Grove city, Texas",1422,0,17,26,27
"Orason CDP, Texas",106,0,0,0,0
"Orchard city, Texas",322,0,0,8,10
"Ore City city, Texas",981,9,0,27,8
"Overton city, Texas",2268,22,35,12,40
"Ovilla city, Texas",3598,0,10,0,21
"Owl Ranch CDP, Texas",126,0,0,0,0
"Oyster Creek city, Texas",1070,12,20,6,21
"Ozona CDP, Texas",3050,57,0,41,23
"Pablo Pena CDP, Texas",0,0,0,0,0
"Kent County, Texas",769,0,4,4,5
"Paducah town, Texas",1204,4,0,1,36
"Paint Rock town, Texas",350,2,0,5,4
"Paisano Park CDP, Texas",81,0,0,0,0
"Palacios city, Texas",4618,0,11,67,96
"Palestine city, Texas",18074,435,161,308,307
"Palisades village, Texas",286,2,0,0,0
"Palmer town, Texas",2284,7,20,35,23
"Palmhurst city, Texas",2630,0,49,11,0
"Palm Valley city, Texas",1695,0,4,0,3
"Palmview city, Texas",5626,139,42,35,110
"Kerr County, Texas",48516,587,298,412,567
"Palmview South CDP, Texas",5476,103,58,72,123
"Palo Blanco CDP, Texas",170,0,0,11,0
"Paloma Creek CDP, Texas",3780,0,0,0,85
"Paloma Creek South CDP, Texas",5141,0,0,0,33
"Palo Pinto CDP, Texas",112,0,0,0,0
"Pampa city, Texas",17915,169,139,190,252
"Panhandle town, Texas",2494,0,16,12,23
"Panorama Village city, Texas",2013,0,0,18,4
"Pantego town, Texas",2437,4,26,0,26
"Paradise city, Texas",415,0,0,0,2
"Kimble County, Texas",4420,23,43,68,92
"Paris city, Texas",24321,290,217,495,678
"Parker city, Texas",4118,0,0,0,34
"Pasadena city, Texas",151760,1467,1861,2024,2779
"Pattison city, Texas",586,0,0,0,7
"Patton Village city, Texas",1925,15,35,42,11
"Pawnee CDP, Texas",168,0,0,0,0
"Payne Springs town, Texas",626,6,5,6,20
"Pearland city, Texas",101177,227,155,268,367
"Pearsall city, Texas",7841,108,83,121,246
"Pecan Acres CDP, Texas",5432,0,0,18,14
"King County, Texas",267,0,0,0,1
"Pecan Gap city, Texas",231,6,0,0,1
"Pecan Grove CDP, Texas",16399,10,46,19,41
"Pecan Hill city, Texas",761,7,3,3,6
"Pecan Plantation CDP, Texas",5755,16,0,0,0
"Pecos city, Texas",8896,34,6,68,63
"Pelican Bay city, Texas",1861,29,40,56,62
"Pena CDP, Texas",185,13,0,0,0
"Penelope town, Texas",204,0,0,1,2
"Penitas city, Texas",4551,102,97,63,61
"Perezville CDP, Texas",4680,26,46,137,46
"Kinney County, Texas",3221,9,31,38,45
"Perrin CDP, Texas",415,0,0,16,0
"Perryton city, Texas",9298,39,35,156,147
"Petersburg city, Texas",1134,5,5,26,24
"Petrolia city, Texas",659,0,10,8,2
"Petronila city, Texas",157,0,0,0,0
"Pettus CDP, Texas",557,0,0,2,21
"Pflugerville city, Texas",53611,59,112,182,325
"Pharr city, Texas",74136,1127,1190,1547,1641
"Pilot Point city, Texas",3879,43,0,0,22
"Pine Forest city, Texas",605,0,0,0,10
"Kleberg County, Texas",30096,1138,527,1249,595
"Pine Harbor CDP, Texas",690,13,32,23,20
"Pinehurst CDP, Texas",4997,4,78,0,178
"Pinehurst city, Texas",1880,19,9,27,22
"Pine Island town, Texas",1408,0,29,5,33
"Pineland city, Texas",942,31,19,15,15
"Pinewood Estates CDP, Texas",1787,0,0,0,0
"Piney Point Village city, Texas",3270,8,8,15,0
"Pittsburg city, Texas",4465,91,76,95,87
"Placedo CDP, Texas",851,0,10,0,6
"Plains town, Texas",1629,25,5,8,14
"Knox County, Texas",3663,0,10,45,41
"Plainview city, Texas",20707,310,256,384,407
"Plano city, Texas",274736,1043,1330,1204,1831
