County,Population,MalePov18to24,MalePov25to34,FemalePov18to24,FemalePov25to34
"Cashion Community city, Texas",275,0,7,0,7
"Castle Hills city, Texas",4287,33,0,8,5
"Castroville city, Texas",2754,2,7,1,18
"Cochran County, Texas",2948,45,17,42,79
"Catarina CDP, Texas",139,0,0,0,0
"Cedar Hill city, Texas",46532,182,166,383,479
"Cedar Park city, Texas",60713,301,171,192,192
"Cedar Point CDP, Texas",762,0,0,0,0
"Celeste city, Texas",779,3,10,5,16
"Celina city, Texas",6764,69,0,109,71
"Center city, Texas",5076,17,0,17,78
"Centerville city, Texas",894,0,8,5,8
"Central Gardens CDP, Texas",4317,0,19,0,38
"César Chávez CDP, Texas",1700,10,0,44,8
"Coke County, Texas",3110,37,5,38,22
"Chandler city, Texas",2728,9,3,11,9
"Channelview CDP, Texas",39128,278,323,611,833
"Channing city, Texas",207,0,4,0,3
"Chaparrito CDP, Texas",31,0,0,0,0
"Chapeno CDP, Texas",60,0,0,5,0
"Charlotte city, Texas",2017,47,17,29,17
"Chester town, Texas",316,2,1,9,10
"Chico city, Texas",1192,3,30,3,60
"Childress city, Texas",4849,113,69,87,103
"Chillicothe city, Texas",796,12,3,6,0
"Coleman County, Texas",8500,88,76,140,112
"Chilton CDP, Texas",640,0,0,0,5
"China city, Texas",891,4,19,16,14
"China Grove town, Texas",1295,0,0,0,4
"China Spring CDP, Texas",1335,0,24,0,0
"Chireno city, Texas",408,2,2,12,7
"Christine town, Texas",392,6,0,9,10
"Christoval CDP, Texas",309,0,0,0,0
"Chula Vista CDP (Cameron County), Texas",491,0,0,0,85
"Chula Vista CDP (Maverick County), Texas",3438,0,16,55,91
"Chula Vista CDP (Zavala County), Texas",363,0,0,25,51
"Collin County, Texas",857655,4360,3626,4134,5751
"Cibolo city, Texas",23957,65,23,22,62
"Cienegas Terrace CDP, Texas",2836,35,8,96,40
"Cinco Ranch CDP, Texas",16996,12,0,51,19
"Circle D-KC Estates CDP, Texas",1854,0,52,0,49
"Cisco city, Texas",3467,27,28,315,53
"Citrus City CDP, Texas",4108,108,245,151,303
"Clarendon city, Texas",1724,18,7,18,24
"Clarksville city, Texas",2997,0,137,0,55
"Clarksville City city, Texas",711,14,3,7,0
"Claude city, Texas",1149,13,15,6,8
"Collingsworth County, Texas",2986,0,25,48,76
"Clear Lake Shores city, Texas",1232,0,0,0,0
"Cleburne city, Texas",28597,365,234,380,266
"Cleveland city, Texas",7146,64,85,164,142
"Clifton city, Texas",3135,13,40,15,0
"Clint town, Texas",820,25,6,16,17
"Cloverleaf CDP, Texas",23185,302,269,425,551
"Clute city, Texas",11099,92,102,281,203
"Clyde city, Texas",3678,31,17,7,59
"Coahoma town, Texas",745,0,0,0,24
"Cockrell Hill city, Texas",4284,18,59,18,65
"Colorado County, Texas",20379,110,263,130,98
"Coffee City town, Texas",279,0,0,7,2
"Coldspring city, Texas",844,10,2,19,3
"Coleman city, Texas",4474,65,60,114,85
"College Station city, Texas",90258,11087,1537,11889,1608
"Colleyville city, Texas",24411,0,0,12,0
"Collinsville town, Texas",1709,0,0,0,4
"Colmesneil city, Texas",629,2,0,0,0
"Colorado Acres CDP, Texas",98,0,0,0,8
"Colorado City city, Texas",3922,0,28,26,12
"Columbus city, Texas",3369,76,1,40,5
"Comal County, Texas",118403,409,424,665,768
"Comanche city, Texas",4057,47,27,96,51
"Combes town, Texas",3011,39,26,31,40
"Combine city, Texas",2091,1,25,0,10
"Comfort CDP, Texas",3031,0,0,0,0
"Commerce city, Texas",6830,423,285,491,206
"Como town, Texas",770,4,7,10,8
"Concepcion CDP, Texas",39,0,0,0,0
"Conroe city, Texas",61707,360,686,1142,1388
"Converse city, Texas",20321,142,194,13,158
"Cool city, Texas",241,3,0,0,3
"Comanche County, Texas",13397,78,136,210,170
"Coolidge town, Texas",727,19,4,9,11
"Cooper city, Texas",2025,38,79,48,59
"Coppell city, Texas",40556,141,102,75,163
"Copperas Cove city, Texas",32682,131,249,364,358
"Copper Canyon town, Texas",1128,0,0,5,0
"Corinth city, Texas",20577,57,86,162,104
"Corpus Christi city, Texas",309774,3281,2305,3879,5270
"Corral City town, Texas",16,0,0,0,0
"Corrigan town, Texas",1742,7,13,41,33
"Corsicana city, Texas",23185,238,273,442,556
"Concho County, Texas",2678,2,9,5,17
"Cottonwood city, Texas",140,0,0,0,0
"Cottonwood Shores city, Texas",1414,8,0,16,20
"Cotulla city, Texas",3938,0,17,12,83
"Country Acres CDP, Texas",133,0,0,0,0
"Coupland city, Texas",207,0,10,1,9
"Cove city, Texas",451,0,3,0,1
"Covington city, Texas",267,0,7,6,0
"Coyanosa CDP, Texas",211,0,0,0,0
"Coyote Acres CDP, Texas",428,0,0,0,0
"Coyote Flats city, Texas",404,4,0,0,1
Texas -- In metropolitan statistical area -- not in principal city,11294443,78383,72504,100248,123493
"Cooke County, Texas",38047,276,298,366,581
"Crandall city, Texas",3038,21,0,0,24
"Crane city, Texas",3719,13,45,7,50
"Cranfills Gap city, Texas",265,2,0,3,0
"Crawford town, Texas",671,3,10,9,11
"Creedmoor city, Texas",177,0,1,3,2
"Cresson city, Texas",785,0,36,0,2
"Crockett city, Texas",6152,138,57,269,154
"Crosby CDP, Texas",2600,27,83,66,72
"Crosbyton city, Texas",1716,58,17,55,55
"Cross Mountain CDP, Texas",2725,0,0,0,34
"Coryell County, Texas",62379,293,444,684,802
"Cross Plains town, Texas",1187,0,6,43,42
"Cross Roads town, Texas",1005,0,6,7,0
"Cross Timber town, Texas",291,3,0,0,2
"Crowell city, Texas",740,4,4,5,15
"Crowley city, Texas",14144,9,56,39,153
"Crystal City city, Texas",7315,56,54,89,161
"Cuero city, Texas",6699,14,8,79,105
"Cuevitas CDP, Texas",0,0,0,0,0
"Cumby city, Texas",811,7,9,8,17
"Cumings CDP, Texas",1408,0,0,0,0
"Cottle County, Texas",1495,4,0,1,36
"Cuney town, Texas",88,0,11,0,0
"Cushing city, Texas",589,7,0,16,2
"Cut and Shoot city, Texas",1322,6,4,12,4
"Daingerfield city, Texas",2705,3,18,70,55
"Daisetta city, Texas",738,3,0,0,0
"Dalhart city, Texas",8131,21,62,69,153
"Dallas city, Texas",1244646,14810,16806,19813,28009
"Dalworthington Gardens city, Texas",2119,4,8,12,4
"Damon CDP, Texas",549,0,0,31,7
"Danbury city, Texas",1463,2,4,12,0
"Crane County, Texas",4621,26,45,24,50
"Darrouzett town, Texas",389,0,0,8,3
"Dawson town, Texas",789,0,2,8,15
"Dayton city, Texas",7262,70,43,123,128
"Dayton Lakes city, Texas",182,3,0,0,0
"Dean city, Texas",538,2,6,0,7
"Decatur city, Texas",6081,55,0,0,158
"DeCordova city, Texas",2763,0,0,15,0
"Deer Park city, Texas",33045,119,87,159,302
"De Kalb city, Texas",1584,28,9,17,28
"De Leon city, Texas",2171,20,25,35,14
"Crockett County, Texas",3619,57,13,41,23
"Dell City city, Texas",321,0,0,14,6
"Del Mar Heights CDP, Texas",230,0,0,13,0
"Delmita CDP, Texas",108,0,0,0,0
"Del Rio city, Texas",34848,366,279,511,480
"Del Sol CDP, Texas",309,0,0,0,0
"Denison city, Texas",22335,225,168,338,390
"Denton city, Texas",115318,4139,1981,5829,2063
"Denver City town, Texas",4662,0,0,0,63
"Deport city, Texas",495,0,3,0,5
"DeSoto city, Texas",50726,266,162,290,271
"Crosby County, Texas",5921,72,41,122,110
"Detroit town, Texas",767,15,9,15,33
"Devers city, Texas",416,2,2,3,1
"Devine city, Texas",4410,53,0,0,38
"Deweyville CDP, Texas",1075,0,0,18,0
"D'Hanis CDP, Texas",899,0,22,0,18
"Diboll city, Texas",4289,0,0,31,138
"Dickens city, Texas",179,0,0,1,0
"Dickinson city, Texas",19332,144,115,156,123
"Dilley city, Texas",2766,84,53,0,87
"Dimmitt city, Texas",4251,53,41,57,62
"Culberson County, Texas",2283,19,42,55,35
"DISH town, Texas",259,0,0,0,1
"Dodd City town, Texas",375,0,5,3,4
"Dodson town, Texas",94,0,0,1,0
"Doffing CDP, Texas",5629,176,63,232,136
"Domino town, Texas",102,0,0,0,0
"Donna city, Texas",16292,153,407,156,411
"Doolittle CDP, Texas",3746,111,183,31,218
"Dorchester city, Texas",101,0,0,5,1
"Double Oak town, Texas",3013,4,0,31,2
"Douglassville town, Texas",150,0,0,6,0
"Dallam County, Texas",6958,43,54,62,149
"Doyle CDP, Texas",507,0,0,0,0
"Driftwood CDP, Texas",107,0,0,0,0
"Dripping Springs city, Texas",2343,24,33,6,40
"Driscoll city, Texas",697,0,7,27,11
"Dublin city, Texas",3579,36,63,94,83
"Dumas city, Texas",14701,210,94,196,302
"Duncanville city, Texas",39277,339,70,230,576
"Eagle Lake city, Texas",3612,0,174,35,41
"Eagle Pass city, Texas",27667,208,48,504,401
"Early city, Texas",2804,25,0,0,23
"Dallas County, Texas",2454371,23570,25192,30411,43730
"Earth city, Texas",832,0,7,5,24
"East Alto Bonito CDP, Texas",954,0,0,15,0
"East Bernard city, Texas",2779,0,4,14,64
"Eastland city, Texas",3766,34,40,51,0
"East Mountain city, Texas",967,12,0,14,9
"Easton city, Texas",501,5,4,0,7
"East Tawakoni city, Texas",865,0,0,2,2
"Ector city, Texas",778,6,2,6,20
"Edcouch city, Texas",3244,35,88,99,22
"Eden city, Texas",1084,0,3,0,5
"Dawson County, Texas",11621,56,35,149,127
"Edgecliff Village town, Texas",2934,18,13,17,18
"Edgewater Estates CDP, Texas",85,0,0,0,0
"Edgewood town, Texas",1392,11,19,40,23
"Edinburg city, Texas",79442,1693,1636,2074,1571
"Edmonson town, Texas",109,0,0,0,0
"Edna city, Texas",5466,25,17,36,67
"Edom city, Texas",347,0,4,10,0
"Edroy CDP, Texas",307,0,0,28,0
"Eidson Road CDP, Texas",9975,104,18,61,86
"Elbert CDP, Texas",38,0,0,0,0
Texas -- In micropolitan statistical area,1525769,19146,13407,26101,23264
"Deaf Smith County, Texas",18980,234,208,209,343
"El Brazil CDP, Texas",36,0,0,0,0
"El Camino Angosto CDP, Texas",272,0,0,13,0
"El Campo city, Texas",11431,56,136,85,262
"El Castillo CDP, Texas",368,0,0,0,12
"El Cenizo CDP, Texas",567,0,22,0,21
"El Cenizo city, Texas",3297,39,64,92,124
"El Chaparral CDP, Texas",212,0,0,0,0
"Eldorado city, Texas",1897,12,23,18,26
"Electra city, Texas",2693,7,0,32,16
"Elgin city, Texas",8080,48,58,66,259
"Delta County, Texas",5152,48,101,58,98
"Elias-Fela Solis CDP, Texas",29,0,0,0,0
"El Indio CDP, Texas",209,0,13,0,9
"Elkhart town, Texas",1285,14,6,21,25
"El Lago city, Texas",2747,40,0,23,0
"Elm Creek CDP, Texas",2840,54,6,135,23
"Elmendorf city, Texas",1229,9,6,15,17
"El Mesquite CDP, Texas",0,0,0,0,0
"Elmo CDP, Texas",792,0,0,0,0
"E. Lopez CDP, Texas",75,0,0,0,0
"El Paso city, Texas",669146,7562,6558,9644,10459
"Denton County, Texas",719124,6315,4121,8493,6010
"El Quiote CDP, Texas",208,0,0,0,0
"El Rancho Vela CDP, Texas",224,0,0,0,0
"El Refugio CDP, Texas",377,54,0,29,0
"Elsa city, Texas",6444,98,119,91,254
"El Socio CDP, Texas",137,0,0,0,18
"Emerald Bay CDP, Texas",969,0,0,0,0
"Emhouse town, Texas",108,1,2,0,0
"Emory city, Texas",949,17,4,8,5
"Encantada-Ranchito-El Calaboz CDP, Texas",1756,20,0,72,21
"Enchanted Oaks town, Texas",370,0,0,3,0
"DeWitt County, Texas",18695,44,45,131,160
"Encinal city, Texas",904,0,0,2,0
"Encino CDP, Texas",53,0,8,7,0
"Ennis city, Texas",18505,208,266,305,466
"Escobares city, Texas",1685,33,56,58,73
"Estelline town, Texas",76,0,0,0,0
"Eugenio Saenz CDP, Texas",39,0,0,6,0
"Euless city, Texas",52945,360,625,439,523
"Eureka city, Texas",359,0,0,0,4
"Eustace city, Texas",1088,28,17,18,18
"Evadale CDP, Texas",1553,0,0,4,2
"Dickens County, Texas",2077,24,13,13,33
"Evant town, Texas",423,0,5,10,8
"Evergreen CDP, Texas",10,0,0,0,0
"Everman city, Texas",6279,43,41,70,132
"Fabens CDP, Texas",7834,171,210,215,198
"Fabrica CDP, Texas",851,17,0,0,0
"Fairchilds village, Texas",815,2,13,6,8
"Fairfield city, Texas",2699,19,3,27,20
"Fair Oaks Ranch city, Texas",7315,0,0,0,0
"Fairview town, Texas",8109,0,0,0,0
"Falconaire CDP, Texas",115,11,18,6,12
"Dimmit County, Texas",10587,42,5,134,210
"Falcon Heights CDP, Texas",30,0,0,0,0
"Falcon Lake Estates CDP, Texas",1620,14,0,51,16
"Falcon Mesa CDP, Texas",663,0,46,0,0
"Falcon Village CDP, Texas",45,0,0,0,0
"Falfurrias city, Texas",4499,115,320,142,106
"Falls City city, Texas",581,0,13,0,8
"Falman CDP, Texas",125,0,0,0,0
"Fannett CDP, Texas",1742,13,0,0,10
"Farmers Branch city, Texas",30916,154,141,211,358
"Farmersville city, Texas",3424,15,0,72,67
"Donley County, Texas",3311,19,20,37,37
"Farwell city, Texas",1710,3,8,10,3
"Fate city, Texas",8414,17,22,0,58
"Fayetteville city, Texas",251,0,0,3,0
"Faysville CDP, Texas",608,0,21,0,20
"Fernando Salinas CDP, Texas",11,0,0,0,0
"Ferris city, Texas",2463,36,48,81,45
"Fifth Street CDP, Texas",1943,0,53,98,174
"Flatonia town, Texas",1498,0,0,0,10
"Flor del Rio CDP, Texas",139,0,0,0,0
"Florence city, Texas",870,23,7,5,6
"Duval County, Texas",10954,34,185,197,142
"Floresville city, Texas",6539,73,10,49,48
"Flowella CDP, Texas",69,0,0,0,0
"Flower Mound town, Texas",68352,84,177,58,113
"Floydada city, Texas",2913,0,39,97,75
"Follett city, Texas",577,5,2,4,5
"Forest Hill city, Texas",12601,27,189,161,187
"Forney city, Texas",16773,4,121,1,79
"Forsan city, Texas",216,0,7,0,9
"Fort Bliss CDP, Texas",5704,20,44,62,78
"Fort Clark Springs CDP, Texas",1012,0,0,13,0
"Eastland County, Texas",17369,61,108,464,177
"Fort Davis CDP, Texas",1112,0,0,0,0
"Fort Hancock CDP, Texas",1623,0,31,28,66
"Fort Hood CDP, Texas",20746,187,156,374,367
"Fort Stockton city, Texas",7787,31,0,82,61
"Fort Worth city, Texas",781139,8447,7984,11576,12790
"Four Corners CDP, Texas",13608,187,183,13,150
"Four Points CDP, Texas",0,0,0,0,0
"Fowlerton CDP, Texas",165,0,0,0,0
"Franklin city, Texas",1766,35,12,39,22
"Frankston town, Texas",968,4,9,7,13
"Ector County, Texas",147464,1023,590,2047,1671
"Fredericksburg city, Texas",10440,109,44,51,28
"Freeport city, Texas",11925,166,152,236,323
"Freer city, Texas",2752,15,11,80,29
"Fresno CDP, Texas",21733,24,173,103,178
"Friendswood city, Texas",37222,113,164,112,145
"Friona city, Texas",3903,43,43,10,71
"Frisco city, Texas",137306,377,240,159,389
"Fritch city, Texas",2977,6,22,3,27
"Fronton CDP, Texas",154,0,0,5,0
"Fronton Ranchettes CDP, Texas",155,18,0,10,11
Texas -- In micropolitan statistical area -- in principal city,726160,12455,7125,17163,13540
"Edwards County, Texas",1894,9,7,5,11
"Frost city, Texas",627,0,0,10,16
"Fruitvale city, Texas",546,0,0,11,14
"Fulshear city, Texas",3219,12,0,2,0
"Fulton town, Texas",1302,14,3,19,12
"Gail CDP, Texas",326,0,0,0,0
"Gainesville city, Texas",15678,92,178,236,377
"Galena Park city, Texas",11081,64,104,192,170
"Gallatin city, Texas",347,0,7,5,0
"Galveston city, Texas",45415,823,770,1060,860
"Ganado city, Texas",1754,12,55,30,33
"Ellis County, Texas",154910,865,1021,1222,1820
"Garceno CDP, Texas",592,50,0,0,0
"Garciasville CDP, Texas",55,0,0,0,11
"Garden City CDP, Texas",292,0,0,0,0
"Gardendale CDP, Texas",1342,0,0,0,0
"Garden Ridge city, Texas",3533,0,0,0,1
"Garfield CDP, Texas",1535,0,18,0,63
"Garland city, Texas",233032,1852,2264,2585,3620
"Garrett town, Texas",845,0,38,22,42
"Garrison city, Texas",802,24,5,17,8
"Gary City town, Texas",305,1,0,9,7
"El Paso County, Texas",816100,10072,8499,12634,13484
"Garza-Salinas II CDP, Texas",753,54,0,15,13
"Gatesville city, Texas",7442,79,60,62,124
"Georgetown city, Texas",54232,175,219,363,148
"George West city, Texas",2310,39,4,31,15
"Geronimo CDP, Texas",1432,34,0,43,0
"Gholson city, Texas",847,8,3,21,14
"Giddings city, Texas",4783,48,25,128,83
"Gilmer city, Texas",4818,43,31,27,29
"Girard CDP, Texas",31,0,0,0,0
"Gladewater city, Texas",6130,156,118,232,30
"Erath County, Texas",38270,1439,325,2513,421
"Glenn Heights city, Texas",11788,50,89,70,121
"Glen Rose city, Texas",2358,3,14,25,14
"Glidden CDP, Texas",443,16,0,0,5
"Godley city, Texas",1237,25,10,30,18
"Goldsmith city, Texas",208,0,1,0,5
"Goldthwaite city, Texas",2018,13,0,10,14
"Goliad city, Texas",2027,5,33,13,11
"Golinda city, Texas",500,5,28,0,3
"Gonzales city, Texas",7144,139,102,78,174
"Goodlow city, Texas",209,3,0,0,5
"Falls County, Texas",15504,231,127,266,105
"Goodrich city, Texas",260,0,5,7,6
"Gordon city, Texas",450,0,12,0,4
"Goree city, Texas",258,0,1,4,0
"Gorman city, Texas",865,0,2,17,0
"Graford city, Texas",705,5,11,9,3
"Graham city, Texas",8712,22,114,41,99
"Granbury city, Texas",8065,43,39,130,50
"Grandfalls town, Texas",331,0,0,0,9
"Grand Prairie city, Texas",182573,1322,1365,1824,2089
"Grand Saline city, Texas",2868,24,38,54,78
"Fannin County, Texas",30810,291,286,318,398
"Grandview city, Texas",1361,0,13,9,46
"Granger city, Texas",1404,5,16,5,36
"Granite Shoals city, Texas",4988,42,277,130,137
"Granjeno city, Texas",288,1,5,0,7
"Grape Creek CDP, Texas",2920,21,16,23,0
"Grapeland city, Texas",1784,32,7,20,20
"Grapevine city, Texas",49298,220,417,242,642
"Grays Prairie village, Texas",349,0,0,0,0
"Greatwood CDP, Texas",12198,0,0,17,16
"Green Valley Farms CDP, Texas",451,0,0,0,0
"Fayette County, Texas",24395,42,85,134,158
"Greenville city, Texas",25164,380,326,450,495
"Gregory city, Texas",2137,7,18,62,28
"Grey Forest city, Texas",540,0,0,0,0
"Groesbeck city, Texas",3696,60,87,43,144
"Groom town, Texas",553,0,0,0,0
"Groves city, Texas",15563,79,143,277,135
"Groveton city, Texas",1311,84,15,10,14
"Gruver city, Texas",1112,0,0,0,17
"Guadalupe Guerra CDP, Texas",13,0,0,0,0
"Guerra CDP, Texas",0,0,0,0,0
"Fisher County, Texas",3806,57,41,45,40
"Gun Barrel City city, Texas",5856,34,87,32,108
"Gunter city, Texas",1269,14,42,6,32
"Gustine town, Texas",574,8,12,19,11
"Guthrie CDP, Texas",147,0,0,0,0
"Gutierrez CDP, Texas",21,0,0,0,0
"Hackberry town, Texas",1527,13,0,26,16
"Hale Center city, Texas",2441,29,18,25,29
"Hallettsville city, Texas",2381,5,0,0,40
"Hallsburg city, Texas",536,0,9,0,8
"Hallsville city, Texas",3888,0,47,0,44
"Floyd County, Texas",6126,37,63,122,105
"Haltom City city, Texas",43285,273,259,340,760
"Hamilton city, Texas",2798,45,16,0,20
"Hamlin city, Texas",1579,6,10,19,57
"Happy town, Texas",754,4,22,32,0
"Hardin city, Texas",854,8,6,11,33
"Hargill CDP, Texas",380,29,24,9,20
"Harker Heights city, Texas",27990,381,380,75,352
"Harlingen city, Texas",64703,844,1283,1169,1378
"Harper CDP, Texas",1035,0,16,0,13
"Hart city, Texas",1216,8,4,17,12
"Foard County, Texas",1164,4,4,5,15
"Hartley CDP, Texas",637,0,0,0,21
"Haskell city, Texas",2452,0,32,0,94
"Haslet city, Texas",1561,9,0,0,0
"Havana CDP, Texas",516,24,8,38,8
"Hawk Cove city, Texas",396,2,5,1,4
"Hawkins city, Texas",1431,58,0,6,3
"Hawley city, Texas",612,0,2,0,5
"Hays city, Texas",333,0,0,0,0
"H. Cuellar Estates CDP, Texas",27,0,0,0,0
"Hearne city, Texas",4439,43,3,91,19
Texas -- In micropolitan statistical area -- not in principal city,799609,6691,6282,8938,9724
"Fort Bend County, Texas",652259,2556,2790,3452,4443
"Heath city, Texas",7793,0,0,0,10
"Hebbronville CDP, Texas",4583,42,106,45,20
"Hebron town, Texas",475,0,0,0,0
"Hedley city, Texas",384,1,8,17,0
"Hedwig Village city, Texas",2646,0,17,5,4
"Heidelberg CDP, Texas",1806,59,86,22,26
"Helotes city, Texas",8125,24,19,0,0
"Hemphill city, Texas",1355,11,37,0,27
"Hempstead city, Texas",6343,576,33,291,156
"Henderson city, Texas",11340,0,32,152,151
"Franklin County, Texas",10491,139,53,51,97
"Henrietta city, Texas",2977,53,67,9,33
"Hereford city, Texas",14992,193,208,209,343
"Hermleigh CDP, Texas",381,3,0,0,3
"Hewitt city, Texas",13916,34,44,78,94
"Hickory Creek town, Texas",3774,12,0,0,0
"Hico city, Texas",1363,1,10,24,0
"Hidalgo city, Texas",13286,208,73,263,120
"Hideaway city, Texas",3026,0,0,0,0
"Higgins city, Texas",466,4,1,0,0
"Highland Haven city, Texas",451,0,0,0,0
"Freestone County, Texas",18007,118,125,120,181
"Highland Park town, Texas",8906,64,36,0,44
"Highlands CDP, Texas",7492,39,47,35,143
"Highland Village city, Texas",15693,45,4,11,19
"Hill Country Village city, Texas",791,0,3,4,0
"Hillcrest village, Texas",762,2,9,0,1
"Hillsboro city, Texas",7705,50,166,258,173
"Hillside Acres CDP, Texas",0,0,0,0,0
"Hilltop CDP (Frio County), Texas",226,0,0,0,0
"Hilltop CDP (Starr County), Texas",29,0,0,0,0
"Hilltop Lakes CDP, Texas",985,0,0,0,0
"Frio County, Texas",15034,237,165,140,384
"Hilshire Village city, Texas",727,0,0,0,0
"Hitchcock city, Texas",7268,23,50,147,147
"Holiday Beach CDP, Texas",453,0,0,0,0
"Holiday Lakes town, Texas",936,17,2,6,42
"Holland town, Texas",1036,18,27,17,24
"Holliday city, Texas",1614,23,12,14,37
"Holly Lake Ranch CDP, Texas",2926,0,0,0,0
"Hollywood Park town, Texas",3198,0,0,0,0
"Homestead Meadows North CDP, Texas",4558,126,61,62,202
"Homestead Meadows South CDP, Texas",5770,34,18,204,79
"Gaines County, Texas",18782,125,83,123,282
"Hondo city, Texas",6624,140,40,162,116
"Honey Grove city, Texas",1975,34,16,16,6
"Hooks city, Texas",2757,11,72,17,69
"Horizon City city, Texas",18940,151,131,268,297
"Hornsby Bend CDP, Texas",7403,0,60,50,50
"Horseshoe Bay city, Texas",3454,0,0,0,18
"Horseshoe Bend CDP, Texas",636,0,22,0,0
"Houston city, Texas",2185751,24063,29507,32972,43541
"Howardwick city, Texas",440,0,1,2,12
"Howe town, Texas",2567,20,0,59,81
"Galveston County, Texas",301862,1738,1976,3022,3429
"Hubbard city, Texas",1609,14,6,37,27
"Hudson city, Texas",4771,37,83,102,60
"Hudson Bend CDP, Texas",2823,0,0,6,36
"Hudson Oaks city, Texas",2093,8,0,3,6
"Hughes Springs city, Texas",1798,31,25,26,37
"Hull CDP, Texas",514,0,0,0,0
"Humble city, Texas",15262,104,135,160,311
"Hungerford CDP, Texas",64,0,8,0,0
"Hunters Creek Village city, Texas",4620,0,0,0,38
"Huntington city, Texas",2151,0,8,5,59
"Garza County, Texas",4148,31,31,8,8
"Huntsville city, Texas",25315,2283,223,2644,644
"Hurst city, Texas",38121,162,237,333,604
"Hutchins city, Texas",3988,16,62,52,54
"Hutto city, Texas",20030,34,44,85,162
"Huxley city, Texas",377,0,1,6,3
"Iago CDP, Texas",76,0,0,0,0
"Idalou city, Texas",2369,4,34,5,46
"Iglesia Antigua CDP, Texas",421,0,14,28,12
"Impact town, Texas",11,0,0,0,0
"Imperial CDP, Texas",345,0,0,0,16
"Gillespie County, Texas",25012,145,180,123,93
"Indian Hills CDP, Texas",2876,171,131,53,24
"Indian Lake town, Texas",913,6,13,24,29
"Indian Springs CDP, Texas",807,0,0,20,31
"Indio CDP, Texas",0,0,0,0,0
"Industry city, Texas",231,0,0,2,0
"Inez CDP, Texas",2127,8,0,6,34
"Ingleside city, Texas",9450,36,58,87,91
"Ingleside on the Bay city, Texas",565,0,0,0,0
"Ingram city, Texas",2010,31,21,0,11
"Iola city, Texas",482,3,0,1,2
"Glasscock County, Texas",1180,0,0,0,0
"Iowa Colony village, Texas",1216,0,16,3,11
"Iowa Park city, Texas",6358,0,32,14,27
"Iraan city, Texas",1206,5,3,13,2
"Iredell city, Texas",372,0,0,7,0
"Irving city, Texas",227336,1498,1964,2186,3632
"Italy town, Texas",1859,20,19,21,39
"Itasca city, Texas",1619,0,32,25,38
"Ivanhoe city, Texas",1184,42,14,17,29
"Jacinto City city, Texas",10623,152,119,170,262
"Jacksboro city, Texas",3248,73,17,26,31
"Goliad County, Texas",7315,5,109,53,76
"Jacksonville city, Texas",14001,135,205,340,298
"Jamaica Beach city, Texas",1008,0,0,0,0
"Jardin de San Julian CDP, Texas",27,0,0,10,0
"Jarrell city, Texas",925,0,4,0,2
"Jasper city, Texas",7411,241,54,192,112
"Jayton city, Texas",564,0,4,0,5
"Jefferson city, Texas",2157,34,0,0,60
"Jersey Village city, Texas",7841,44,63,67,90
"Jewett city, Texas",1308,21,8,45,31
"J.F. Villareal CDP, Texas",37,0,0,0,0
